Name,Category,Address,Contact Name,Contact Email,Contact Phone Number,Creative Schools Certification,Network
Catalyst-Maria Charter HS,High School,"6727 S California Avex, Chicago, IL, 60629","",,"",Strong,Charter
Academy for Global Citizenship Elementary School,Elementary School,"4647 W 47th St, Chicago, IL, 60632",Meredith McNamara,mpolley@agcchicago.org,(773) 582-1100,Strong,Charter
Alain Locke Charter Elementary Academy,Elementary School,"3141 W Jackson Blvd, Chicago, IL, 60612",Amy Belluomini,abelluomini@alainlocke.org,(773) 265-7230,Strong,Charter
ASPIRA Charter - Early College,High School,"3986 W Barry Ave, Chicago, IL, 60618",Alexander Ramirez,aramirez@aspirail.org,(305) 733-3361,Developing,Charter
ASPIRA Charter - Haugan Campus,Middle School,"3729 W Leland Ave, Chicago, IL, 60625",Geovanna Silva,gsilva@aspirail.org,(773) 860-1253,Strong,Charter
Catalyst Elementary School - Circle Rock,Elementary School,"5608 W Washington Blvd, Chicago, IL, 60644",Kathryn Donohue,kdonohue@catalystschools.org,(773) 945-5025,Strong,Charter
Chicago High School for the Arts,High School,"2714 W Augusta Blvd, Chicago, IL, 60622","",,"",Excelling,Contract
Chicago Intl Charter - Avalon / South Shore,Elementary School,"1501 E 83rd Pl, Chicago, IL, 60619",Shameka Williams,swilliams@cicsavalon.org,(773) 721-0858,Emerging,Charter
Chicago Intl Charter - Basil,Elementary School,"1816 W Garfield Blvd, Chicago, IL, 60609",Vontonia Owens,vowens@cicsbasil.org,(773) 778-9455,Strong,Charter
Chicago Intl Charter - Bucktown,Elementary School,"2235 N Hamilton Ave., Chicago, IL, 60647",Norrisa Pearson,nopearson@distinctiveschools.org,(773) 230-7327,Developing,Charter
Chicago Intl Charter - Loomis Primary,Elementary School,"9535 S Loomis St, Chicago, IL, 60643","",,"",Strong,Charter
Chicago Intl Charter - Irving Park,Elementary School,"3820 N Spaulding Ave, Chicago, IL, 60618",Dail Kirkpatrick,dkirkpatrick@distinctiveschools.org,(217) 781-2992,Excelling,Charter
Chicago Intl Charter - Prairie,Elementary School,"11530 S Prairie Ave, Chicago, IL, 60628",Nicholas Pesa,npesa@distinctiveschools.org,(312) 320-5831,Excelling,Charter
Chicago Intl Charter - Washington Park,Elementary School,"110 E 61st St, Chicago, IL, 60637","",,"",Incomplete Data,Charter
Chicago Intl Charter - West Belden,Elementary School,"2245 N Mcvicker Ave, Chicago, IL, 60639",Laura Sowa,lsowa@distinctiveschools.org,"",Developing,Charter
Chicago Intl Charter - Wrightwood,Elementary School,"8130 S California Ave, Chicago, IL, 60652",Jazmine Cooper,jcooper@cicswrightwood.org,(312) 479-0029,Developing,Charter
Chicago Intl Charter - Ralph Ellison,High School,"1817 W 80th St, Chicago, IL, 60620","",,"",Incomplete Data,Charter
Chicago Intl Charter - Longwood,Combination,"1309 W 95th St, Chicago, IL, 60643",Emma Craigen,ecraigen@cicsloomislongwood.org,"",Emerging,Charter
Chicago Intl Charter - Northtown,High School,"3900 W Peterson Ave, Chicago, IL, 60659",Jeanette Thompson,jthompson@cicsnorthtown.org,(917) 770-1159,Strong,Charter
Chicago Math and Science Academy High School,High School,"7212 N Clark St, Chicago, IL, 60626","",,"",Strong,Charter
Erie Elementary Charter School,Elementary School,"1405 N Washtenaw Ave, Chicago, IL, 60622",Lynnea De Jesus,ldejesus@eriecharterschool.org,(773) 486-7161,Strong,Charter
Hope Institute Learning Academy,Elementary School,"1628 W Washington, Chicago, IL, 60612",Mike Jakubowski,mjakubowski@hope.us,(312) 965-1046,Incomplete Data,Contract
KIPP Ascend Charter School,Elementary School,"1616 S Avers Ave, Chicago, IL, 60623",Elizabeth Lesinski,elesinski@kippchicago.org,(716) 903-4038,Strong,Charter
LEARN Charter ES - Romano Butler Campus,Elementary School,"1132 S Homan Ave, Chicago, IL, 60624",Donald Woods,dwoods@learncharter.org,(773) 722-0200,Strong,Charter
LEARN Charter ES - Charles and Dorothy Campbell,Elementary School,"212 S Francisco Ave, Chicago, IL, 60612",Christine Jasnica,cjasnica@learncharter.org,(786) 942-6579,Strong,Charter
LEARN Charter ES - Excel,Elementary School,"3021 W Carroll Ave, Chicago, IL, 60612",Amanda Littleton,alittleton@learncharter.org,(773) 584-4300,Excelling,Charter
